Species,Character
Dicamptodon_tenebrosus,I
Dicamptodon_ensatus,NA
Dicamptodon_copei,I
Dicamptodon_aterrimus,NA
Ambystoma_talpoideum,I
Ambystoma_gracile,M
Ambystoma_maculatum,M
Ambystoma_opacum,I
Ambystoma_jeffersoniam,M
Ambystoma_laterale,I
Ambystoma_macrodactylum,MI
Ambystoma_mabeei,I
Ambystoma_barbouri,MI
Ambystoma_texanum,MI
Ambystoma_annulatum,MI
Ambystoma_cingulatum,MI
Ambystoma_bishopi,I
Ambystoma_californiense,I
Ambystoma_tigrinum,M
Ambystoma_dumerilii,MI
Ambystoma_ordinarium,I
Ambystoma_rosaceum,I
Ambystoma_andersoni,NA
Ambystoma_mexicanum,I
Chioglossa_lusitanica,I
Mertensiella_caucasia,I
Salamandra_atra,O
Salamandra_corsica,O
Salamandra_lanzai,O
Salamandra_algira,O
Salamandra_infraimmaculata,O
Salamandra_salamandra,O
Lyciasalamandra_luschani,O
Lyciasalamandra_atifi,O
Lyciasalamandra_flavimembris,O
Lyciasalamandra_fazilae,O
Lyciasalamandra_billae,O
Lyciasalamandra_helverseni,O
Lyciasalamandra_antalyana,O
Salamandrina_terdigitata,I
Salamandrina_perspicillata,I
Pleurodeles_waltl,MI
Pleurodeles_poireti,NA
Pleurodeles_nebulosus,MI
Echinotriton_chinhaiensis,I
Echinotriton_andersoni,I
Tylototriton_taliangensis,I
Tylototriton_kweichowensis,I
Tylototriton_verrucosus,I
Tylototriton_shanjing,I
Tylototriton_yangi,I
Tylototriton_uyenoi,I
Yaotriton_hainanensis,NA
Yaotriton_ziegleri,I
Yaotriton_notialis,NA
Yaotriton_asperrimus,I
Yaotriton_wenxianensis,NA
Yaotriton_lizhenchangi,NA
Yaotriton_vietnamensis,NA
Yaotriton_panhai,NA
Taricha_rivularis,M
Taricha_granulosa,I
Taricha_torosa,M
Notophthalmus_meridionalis,NA
Notophthalmus_perstriatus,I
Notophthalmus_viridescens,I
Euproctus_platycephalus,I
Euproctus_montanus,I
Ichyosaura_alpestris,I
Lissotriton_boscai,I
Lissotriton_helveticus,I
Lissotriton_italicus,I
Lissotriton_vulgaris,I
Lissotriton_montandoni,I
Ommatotriton_ophryticus,I
Ommatotriton_vittatus,I
Neurergus_strauchii,I
Neurergus_kaiseri,I
Neurergus_crocatus,I
Calotriton_asper,I
Calotriton_arnoldi,NA
Triturus_marmoratus,I
Triturus_pygmaeus,I
Triturus_macedonicus,I
Triturus_carnifex,I
Triturus_karelinii,I
Triturus_cristatus,I
Triturus_dobrogicus,I
Cynops_pyrrhogaster,I
Cynops_ensicauda,I
Hypselotriton_cyanurus,I
Hypselotriton_glaucus,NA
Hypselotriton_orphicus,NA
Hypselotriton_orientalis,I
Hypselotriton_fudingensis,NA
Laotriton_laoensis,I
Pachytriton_moi,NA
Pachytriton_inexpectatus,NA
Pachytriton_archospotus,NA
Pachytriton_feii,NA
Pachytriton_granulosus,NA
Pachytriton_brevipes,I
Paramesotriton_caudopunctatus,I
Paramesotriton_wulingensis,NA
Paramesotriton_zhijinensis,NA
Paramesotriton_maolanensis,NA
Paramesotriton_longliensis,NA
Paramesotriton_labiatus,I
Paramesotriton_chinensis,I
Paramesotriton_hongkongensis,I
Paramesotriton_deloustali,I
Paramesotriton_fuzhongensis,NA
Paramesotriton_guanxiensis,NA
Paramesotriton_yunwuensis,NA